promedio_asistencia,promedio_seguimiento,nota_parcial_1,inicios_sesion_plataforma,uso_tutorias,riesgo_reprobacion
85.3,4.6,3.5,42,0,0
94.2,2.3,3.3,25,2,0
90.0,2.6,4.6,48,1,0
74.8,3.3,3.9,35,0,0
73.9,4.1,2.5,25,2,0
75.4,3.3,4.5,30,0,0
76.5,2.9,3.3,39,0,1
84.1,3.6,3.4,43,0,0
77.6,3.3,3.3,32,1,0
92.0,3.5,3.3,28,0,0
76.0,3.2,2.7,23,2,0
76.5,3.6,3.9,39,0,0
86.7,3.4,3.4,48,4,0
73.9,3.6,3.9,47,1,0
72.1,3.8,2.0,37,0,0
75.3,2.3,2.5,41,0,0
79.4,3.5,2.9,50,4,0
80.6,3.0,3.5,35,4,0
70.7,2.7,2.2,39,1,1
82.2,3.9,3.4,45,1,0
85.5,3.4,3.3,40,2,0
84.1,3.4,4.5,34,2,0
81.2,2.0,2.0,22,0,1
94.9,4.2,3.8,25,3,0
87.3,2.0,2.1,31,1,1
68.0,2.9,2.0,50,0,0
79.1,3.0,3.2,51,0,0
82.7,3.3,2.9,46,0,0
73.0,2.9,2.5,25,0,0
62.8,2.9,2.6,32,4,1
85.0,3.5,2.8,35,0,0
73.0,3.4,3.6,28,4,0
100.0,4.3,3.6,39,1,0
63.8,3.3,2.1,34,3,0
79.5,3.3,3.3,43,0,0
94.7,3.3,3.2,42,1,0
76.0,3.6,3.1,49,0,0
89.0,3.5,2.5,32,0,0
77.8,3.6,3.9,31,1,0
76.9,4.7,3.5,39,1,0
75.7,3.0,4.0,49,4,0
76.5,3.8,2.5,35,0,0
85.4,2.2,3.3,51,1,0
98.2,2.0,3.3,49,0,0
70.7,3.5,4.2,60,0,0
80.0,3.4,4.5,26,3,0
77.1,3.7,3.1,33,1,0
89.1,3.2,3.8,46,9,0
87.8,3.2,3.4,35,1,0
78.5,3.5,2.5,39,1,0
72.5,4.4,4.3,36,4,0
96.0,3.6,3.5,44,3,0
69.9,4.5,3.3,34,1,0
77.7,4.0,2.1,25,0,0
79.2,3.4,2.5,32,0,0
73.1,4.2,2.5,43,6,0
83.2,3.6,2.5,48,0,0
68.0,2.9,2.0,47,4,0
86.8,4.4,4.0,35,0,0
75.1,2.2,3.9,40,1,0
86.1,4.5,2.7,38,2,0
77.6,4.0,4.0,42,1,0
73.4,2.0,2.5,50,2,1
87.5,3.4,4.3,58,3,0
76.4,2.0,3.7,37,0,0
84.6,2.7,2.7,40,5,0
70.8,3.6,3.9,44,0,0
87.1,3.6,3.6,29,2,0
100.0,3.9,4.1,49,0,0
78.6,4.0,3.0,43,0,0
67.2,2.9,3.8,46,1,1
83.0,2.6,3.3,29,6,0
83.7,2.7,2.6,27,0,0
73.2,3.2,4.9,39,1,0
70.8,3.2,3.7,46,2,0
73.9,3.1,2.4,35,5,0
64.9,3.4,2.7,48,1,1
86.8,3.9,3.4,56,0,0
78.1,4.0,3.2,39,0,1
87.3,2.8,4.0,40,2,0
88.7,3.9,3.7,47,2,0
77.0,3.2,3.5,51,1,0
64.9,2.4,2.9,41,4,0
73.9,3.5,2.5,52,0,0
74.9,2.6,2.6,45,2,0
70.6,4.6,3.2,48,2,0
89.7,2.8,2.5,54,4,0
81.2,3.9,3.2,35,2,1
81.1,3.5,3.4,53,0,0
82.7,3.4,2.6,52,0,0
84.6,2.9,3.2,50,1,1
81.8,2.6,2.5,35,7,0
78.9,2.5,2.6,43,0,0
85.0,3.4,4.2,47,2,0
74.2,3.8,3.9,54,0,0
100.0,3.0,3.1,39,0,0
87.5,4.1,2.5,37,1,0
62.3,3.6,3.5,38,2,0
89.9,3.0,2.8,39,1,0
82.9,2.9,4.5,36,7,0
66.7,4.1,2.9,39,5,0
81.9,3.7,3.7,36,2,0
69.2,4.6,3.8,25,7,0
81.5,3.4,3.0,46,1,0
67.8,3.6,3.4,39,1,0
75.9,3.1,2.8,50,0,1
77.4,2.4,2.7,37,3,0
95.4,2.8,4.4,34,0,0
74.3,3.5,2.9,58,0,0
94.1,3.0,2.8,27,5,0
67.2,3.6,4.2,34,0,0
86.0,3.4,2.6,33,2,0
85.2,2.8,3.4,36,1,0
81.0,3.3,4.2,54,4,0
85.6,3.0,2.9,33,0,0
76.7,3.7,3.5,30,6,0
75.9,2.9,2.0,50,1,0
62.6,3.2,4.7,51,0,0
82.8,4.4,4.9,42,0,0
83.5,2.3,3.6,36,1,0
